bbl,bldgclass,bldgclass_letter,borough,counts,lng,lat
3088910504,A0,A,BK,34934,-73.92859127225206,40.59140200816629
3087300072,A0,A,BK,90399,-73.94907192339053,40.58034343755374
3071250009,A1,A,BK,57459,-73.97247328571902,40.59623567370823
3053170028,A1,A,BK,152690,-73.97809621214742,40.64778734098711
3053250074,A1,A,BK,143821,-73.97872494539595,40.646864307069045
3053260059,A1,A,BK,107682,-73.97766813844629,40.64630691943737
3053300039,A1,A,BK,126805,-73.97243315380953,40.646547710894254
3053570063,A1,A,BK,110991,-73.97491241399526,40.64174079995864
3053590074,A1,A,BK,122943,-73.97224587156529,40.64264599747249
3053590075,A1,A,BK,122578,-73.97225924886845,40.64269950668513
3053590076,A1,A,BK,122356,-73.97226816707055,40.64275301589778
3053590079,A1,A,BK,122226,-73.97229938077794,40.64291800263675
3053760018,A1,A,BK,121886,-73.97139864236514,40.64052346537105
3053860038,A1,A,BK,88565,-73.97635716273658,40.63633636948186
3053950042,A1,A,BK,95145,-73.97689225486299,40.633906159407736
3053950044,A1,A,BK,96888,-73.97686995935771,40.63379022278035
3053960079,A1,A,BK,88169,-73.97649093576817,40.63510565759111
3054020055,A1,A,BK,127724,-73.96978890688484,40.63531077623957
3054160116,A1,A,BK,118884,-73.97527360118059,40.63097207091457
3054170051,A1,A,BK,102293,-73.970386426426,40.63329080346235
3054230067,A1,A,BK,126357,-73.9732134964939,40.630263073847075
3054230069,A1,A,BK,127479,-73.97331159671707,40.630218482836526
3058480073,A1,A,BK,195260,-74.0298396207716,40.63895386180023
3067200007,A1,A,BK,118561,-73.95781622055634,40.62339605822476
3082790078,A1,A,BK,138251,-73.89290954562239,40.63510565759111
3053230077,A1,A,BK,190078,-73.98088760940688,40.646574465500564
3077510019,A1,A,BK,59734,-73.93080298637457,40.6312084032704
3076100057,A1,A,BK,79021,-73.94800619823876,40.62583518650099
3076100059,A1,A,BK,80198,-73.94797944363243,40.625692495267295
3076340053,A1,A,BK,86543,-73.94188831159343,40.624323551243876
3076340054,A1,A,BK,86768,-73.94187939339133,40.62425666472807
3087420038,A1,A,BK,63662,-73.94857250407254,40.575661381447624
3051460028,A1,A,BK,177615,-73.96403666652589,40.64284219791883
3062760018,A1,A,BK,37364,-73.9912683966593,40.60654511534379
3087540084,A1,A,BK,83759,-73.94157171541863,40.57907705285457
3052300019,A1,A,BK,75486,-73.94972295214434,40.63701861194304
3062810054,A1,A,BK,43389,-74.00749060629173,40.61508429386113
3076670053,A1,A,BK,100339,-73.94377897044009,40.619271389750324
3035670012,A1,A,BK,53103,-73.9171893508584,40.66177108189072
