기간,자치구,행정동,인구
기간,자치구,행정동,합계
기간,자치구,행정동,계
2019.1/4,종로구,소계,"162,913"
2019.1/4,종로구,사직동,"9,782"
2019.1/4,종로구,삼청동,"3,045"
2019.1/4,종로구,부암동,"10,523"
2019.1/4,종로구,평창동,"19,002"
2019.1/4,종로구,무악동,"8,585"
2019.1/4,종로구,교남동,"10,848"
2019.1/4,종로구,가회동,"4,512"
2019.1/4,종로구,종로1.2.3.4가동,"8,518"
2019.1/4,종로구,종로5·6가동,"5,681"
2019.1/4,종로구,이화동,"8,576"
2019.1/4,종로구,창신1동,"6,200"
2019.1/4,종로구,창신2동,"9,954"
2019.1/4,종로구,창신3동,"7,412"
2019.1/4,종로구,숭인1동,"6,658"
2019.1/4,종로구,숭인2동,"10,070"
2019.1/4,종로구,청운효자동,"13,225"
2019.1/4,종로구,혜화동,"20,322"
2019.1/4,중구,소계,"135,836"
2019.1/4,중구,소공동,"2,994"
2019.1/4,중구,회현동,"5,973"
2019.1/4,중구,명동,"3,412"
2019.1/4,중구,필동,"5,022"
2019.1/4,중구,장충동,"5,628"
2019.1/4,중구,광희동,"6,148"
2019.1/4,중구,을지로동,"1,932"
2019.1/4,중구,신당5동,"9,710"
2019.1/4,중구,황학동,"13,547"
2019.1/4,중구,중림동,"13,079"
2019.1/4,중구,신당동,"9,395"
2019.1/4,중구,다산동,"15,135"
2019.1/4,중구,약수동,"17,904"
2019.1/4,중구,청구동,"14,743"
2019.1/4,중구,동화동,"11,214"
2019.1/4,용산구,소계,"245,139"
2019.1/4,용산구,후암동,"18,694"
2019.1/4,용산구,용산2가동,"12,000"
2019.1/4,용산구,남영동,"8,508"
2019.1/4,용산구,원효로2동,"14,976"
2019.1/4,용산구,효창동,"9,078"
2019.1/4,용산구,용문동,"12,744"
2019.1/4,용산구,이촌1동,"29,284"
2019.1/4,용산구,이촌2동,"9,055"
2019.1/4,용산구,이태원1동,"9,166"
2019.1/4,용산구,이태원2동,"10,898"
2019.1/4,용산구,서빙고동,"14,282"
2019.1/4,용산구,보광동,"16,141"
2019.1/4,용산구,청파동,"20,956"
2019.1/4,용산구,원효로1동,"16,266"
2019.1/4,용산구,한강로동,"19,354"
2019.1/4,용산구,한남동,"23,737"
2019.1/4,성동구,소계,"314,608"
2019.1/4,성동구,왕십리2동,"18,110"
2019.1/4,성동구,마장동,"24,175"
2019.1/4,성동구,사근동,"13,658"
2019.1/4,성동구,행당1동,"16,767"
2019.1/4,성동구,행당2동,"24,924"
2019.1/4,성동구,응봉동,"16,284"
2019.1/4,성동구,금호1가동,"16,132"
2019.1/4,성동구,금호4가동,"15,376"
2019.1/4,성동구,성수1가1동,"17,488"
2019.1/4,성동구,성수1가2동,"15,588"
2019.1/4,성동구,성수2가1동,"18,252"
2019.1/4,성동구,성수2가3동,"11,902"
2019.1/4,성동구,송정동,"11,715"
2019.1/4,성동구,용답동,"14,737"
2019.1/4,성동구,왕십리도선동,"27,886"
2019.1/4,성동구,금호2.3가동,"24,361"
2019.1/4,성동구,옥수동,"27,253"
2019.1/4,광진구,소계,"370,658"
2019.1/4,광진구,화양동,"25,278"
2019.1/4,광진구,군자동,"22,113"
2019.1/4,광진구,중곡1동,"16,506"
2019.1/4,광진구,중곡2동,"22,687"
2019.1/4,광진구,중곡3동,"17,776"
2019.1/4,광진구,중곡4동,"30,856"
2019.1/4,광진구,능동,"11,882"
2019.1/4,광진구,구의1동,"23,274"
2019.1/4,광진구,구의2동,"28,093"
2019.1/4,광진구,구의3동,"30,418"
2019.1/4,광진구,광장동,"36,197"
2019.1/4,광진구,자양1동,"24,416"
2019.1/4,광진구,자양2동,"27,389"
2019.1/4,광진구,자양3동,"29,887"
2019.1/4,광진구,자양4동,"23,886"
2019.1/4,동대문구,소계,"363,262"
2019.1/4,동대문구,회기동,"13,031"
2019.1/4,동대문구,휘경1동,"14,509"
2019.1/4,동대문구,휘경2동,"25,271"
2019.1/4,동대문구,청량리동,"22,398"
2019.1/4,동대문구,용신동,"31,995"
2019.1/4,동대문구,제기동,"27,725"
2019.1/4,동대문구,전농1동,"31,173"
2019.1/4,동대문구,전농2동,"20,337"
2019.1/4,동대문구,답십리1동,"29,604"
2019.1/4,동대문구,답십리2동,"30,313"
2019.1/4,동대문구,장안1동,"39,190"
2019.1/4,동대문구,장안2동,"31,585"
2019.1/4,동대문구,이문1동,"24,388"
2019.1/4,동대문구,이문2동,"21,743"
2019.1/4,중랑구,소계,"407,211"
2019.1/4,중랑구,면목2동,"26,426"
2019.1/4,중랑구,면목4동,"20,614"
2019.1/4,중랑구,면목5동,"10,059"
2019.1/4,중랑구,면목7동,"22,168"
2019.1/4,중랑구,상봉1동,"25,499"
2019.1/4,중랑구,상봉2동,"19,337"
2019.1/4,중랑구,중화1동,"21,036"
2019.1/4,중랑구,중화2동,"28,672"
2019.1/4,중랑구,묵1동,"36,200"
2019.1/4,중랑구,묵2동,"20,298"
2019.1/4,중랑구,망우3동,"18,305"
2019.1/4,중랑구,신내1동,"41,180"
2019.1/4,중랑구,신내2동,"22,258"
2019.1/4,중랑구,면목본동,"36,522"
2019.1/4,중랑구,면목3.8동,"26,938"
2019.1/4,중랑구,망우본동,"31,699"
2019.1/4,성북구,소계,"450,021"
2019.1/4,성북구,돈암1동,"16,221"
2019.1/4,성북구,돈암2동,"25,099"
2019.1/4,성북구,안암동,"17,465"
2019.1/4,성북구,보문동,"16,946"
2019.1/4,성북구,정릉1동,"19,213"
2019.1/4,성북구,정릉2동,"24,178"
2019.1/4,성북구,정릉3동,"17,366"
2019.1/4,성북구,정릉4동,"27,087"
2019.1/4,성북구,길음1동,"37,535"
2019.1/4,성북구,길음2동,"13,917"
2019.1/4,성북구,월곡1동,"27,812"
2019.1/4,성북구,월곡2동,"20,675"
2019.1/4,성북구,장위1동,"21,180"
2019.1/4,성북구,장위2동,"14,677"
2019.1/4,성북구,장위3동,"11,627"
2019.1/4,성북구,성북동,"17,820"
2019.1/4,성북구,삼선동,"26,860"
2019.1/4,성북구,동선동,"16,450"
2019.1/4,성북구,종암동,"42,528"
2019.1/4,성북구,석관동,"35,365"
2019.1/4,강북구,소계,"321,151"
2019.1/4,강북구,번1동,"19,885"
2019.1/4,강북구,번2동,"17,468"
2019.1/4,강북구,번3동,"18,799"
2019.1/4,강북구,수유1동,"22,133"
2019.1/4,강북구,수유2동,"22,224"
2019.1/4,강북구,수유3동,"24,538"
2019.1/4,강북구,삼양동,"26,276"
2019.1/4,강북구,미아동,"23,174"
2019.1/4,강북구,송중동,"29,324"
2019.1/4,강북구,송천동,"29,305"
2019.1/4,강북구,삼각산동,"33,312"
2019.1/4,강북구,우이동,"21,684"
2019.1/4,강북구,인수동,"33,029"
2019.1/4,도봉구,소계,"340,089"
2019.1/4,도봉구,쌍문1동,"22,430"
2019.1/4,도봉구,쌍문2동,"20,412"
2019.1/4,도봉구,쌍문3동,"17,437"
2019.1/4,도봉구,쌍문4동,"20,051"
2019.1/4,도봉구,방학1동,"30,482"
2019.1/4,도봉구,방학2동,"21,465"
2019.1/4,도봉구,방학3동,"29,067"
2019.1/4,도봉구,창1동,"26,645"
2019.1/4,도봉구,창2동,"31,211"
2019.1/4,도봉구,창3동,"15,071"
2019.1/4,도봉구,창4동,"28,339"
2019.1/4,도봉구,창5동,"25,884"
2019.1/4,도봉구,도봉1동,"22,693"
2019.1/4,도봉구,도봉2동,"28,902"
2019.1/4,노원구,소계,"545,486"
2019.1/4,노원구,월계1동,"24,212"
2019.1/4,노원구,월계2동,"26,509"
2019.1/4,노원구,월계3동,"32,315"
2019.1/4,노원구,공릉2동,"41,362"
2019.1/4,노원구,하계1동,"30,039"
2019.1/4,노원구,하계2동,"23,727"
2019.1/4,노원구,중계본동,"26,600"
2019.1/4,노원구,중계1동,"28,321"
2019.1/4,노원구,중계4동,"21,683"
2019.1/4,노원구,상계1동,"40,751"
2019.1/4,노원구,상계2동,"21,569"
2019.1/4,노원구,상계5동,"26,136"
2019.1/4,노원구,상계8동,"24,302"
2019.1/4,노원구,상계9동,"22,216"
2019.1/4,노원구,상계10동,"16,867"
2019.1/4,노원구,상계3.4동,"26,367"
2019.1/4,노원구,상계6.7동,"35,195"
2019.1/4,노원구,중계2.3동,"37,528"
2019.1/4,노원구,공릉1동,"39,787"
2019.1/4,은평구,소계,"488,713"
2019.1/4,은평구,녹번동,"37,460"
2019.1/4,은평구,불광1동,"41,316"
2019.1/4,은평구,갈현1동,"25,069"
2019.1/4,은평구,갈현2동,"30,545"
2019.1/4,은평구,구산동,"34,020"
2019.1/4,은평구,대조동,"32,362"
2019.1/4,은평구,응암1동,"25,988"
2019.1/4,은평구,응암2동,"21,566"
2019.1/4,은평구,신사1동,"28,876"
2019.1/4,은평구,신사2동,"22,231"
2019.1/4,은평구,증산동,"16,341"
2019.1/4,은평구,수색동,"10,323"
2019.1/4,은평구,진관동,"57,121"
2019.1/4,은평구,불광2동,"29,752"
2019.1/4,은평구,응암3동,"26,356"
2019.1/4,은평구,역촌동,"49,387"
2019.1/4,서대문구,소계,"324,604"
2019.1/4,서대문구,천연동,"18,874"
2019.1/4,서대문구,홍제1동,"24,583"
2019.1/4,서대문구,홍제3동,"16,479"
2019.1/4,서대문구,홍제2동,"14,714"
2019.1/4,서대문구,홍은1동,"23,731"
2019.1/4,서대문구,홍은2동,"28,626"
2019.1/4,서대문구,남가좌1동,"17,092"
2019.1/4,서대문구,남가좌2동,"25,783"
2019.1/4,서대문구,북가좌1동,"19,292"
2019.1/4,서대문구,북가좌2동,"34,206"
2019.1/4,서대문구,충현동,"18,320"
2019.1/4,서대문구,북아현동,"17,674"
2019.1/4,서대문구,신촌동,"24,171"
2019.1/4,서대문구,연희동,"41,059"
2019.1/4,마포구,소계,"386,571"
2019.1/4,마포구,용강동,"22,527"
2019.1/4,마포구,대흥동,"13,733"
2019.1/4,마포구,염리동,"13,437"
2019.1/4,마포구,신수동,"21,784"
2019.1/4,마포구,서교동,"26,239"
2019.1/4,마포구,합정동,"19,410"
2019.1/4,마포구,망원1동,"22,198"
2019.1/4,마포구,망원2동,"19,561"
2019.1/4,마포구,연남동,"17,283"
2019.1/4,마포구,성산1동,"20,428"
2019.1/4,마포구,성산2동,"41,812"
2019.1/4,마포구,상암동,"33,428"
2019.1/4,마포구,도화동,"22,784"
2019.1/4,마포구,서강동,"25,955"
2019.1/4,마포구,공덕동,"40,625"
2019.1/4,마포구,아현동,"25,367"
2019.1/4,양천구,소계,"466,622"
2019.1/4,양천구,목1동,"32,310"
2019.1/4,양천구,목2동,"31,630"
2019.1/4,양천구,목3동,"23,174"
2019.1/4,양천구,목4동,"27,322"
2019.1/4,양천구,신월1동,"22,202"
2019.1/4,양천구,신월2동,"22,771"
2019.1/4,양천구,신월3동,"17,111"
2019.1/4,양천구,신월4동,"19,198"
2019.1/4,양천구,신월5동,"15,638"
2019.1/4,양천구,신월6동,"6,747"
2019.1/4,양천구,신월7동,"22,156"
2019.1/4,양천구,신정1동,"21,669"
2019.1/4,양천구,신정2동,"20,861"
2019.1/4,양천구,신정3동,"48,702"
2019.1/4,양천구,신정6동,"25,339"
2019.1/4,양천구,신정7동,"30,599"
2019.1/4,양천구,목5동,"43,164"
2019.1/4,양천구,신정4동,"36,029"
2019.1/4,강서구,소계,"602,886"
2019.1/4,강서구,염창동,"41,063"
2019.1/4,강서구,등촌1동,"23,666"
2019.1/4,강서구,등촌2동,"22,039"
2019.1/4,강서구,등촌3동,"33,075"
2019.1/4,강서구,화곡본동,"36,297"
2019.1/4,강서구,화곡2동,"19,948"
2019.1/4,강서구,화곡3동,"22,816"
2019.1/4,강서구,화곡4동,"22,517"
2019.1/4,강서구,화곡6동,"25,000"
2019.1/4,강서구,화곡8동,"26,846"
2019.1/4,강서구,가양1동,"33,804"
2019.1/4,강서구,가양2동,"15,562"
2019.1/4,강서구,가양3동,"16,467"
2019.1/4,강서구,발산1동,"38,736"
2019.1/4,강서구,공항동,"28,713"
2019.1/4,강서구,방화1동,"46,148"
2019.1/4,강서구,방화2동,"24,417"
2019.1/4,강서구,방화3동,"24,775"
2019.1/4,강서구,화곡1동,"54,698"
2019.1/4,강서구,우장산동,"46,299"
2019.1/4,구로구,소계,"438,889"
2019.1/4,구로구,신도림동,"37,547"
2019.1/4,구로구,구로1동,"21,807"
2019.1/4,구로구,구로3동,"26,820"
