adm_cd2,2019.1/4,2019.2/4,2019.3/4
11110515,13225,13144,13090
11110530,9782,9724,9700
11110540,3045,3030,3013
11110550,10523,10477,10525
11110560,19002,18820,18830
11110570,8585,8702,8745
11110580,10848,10760,10779
11110600,4512,4472,4487
11110630,5681,5667,5717
11110640,8576,8582,8566
11110650,20322,20465,20948
11110670,6200,6166,6098
11110680,9954,9874,9825
11110690,7412,7354,7322
11110700,6658,6635,6613
11110710,10070,10041,9972
11140520,2994,3012,3045
11140540,5973,5898,5864
11140550,3412,3445,3497
11140570,5022,5088,5054
11140580,5628,5668,5628
11140590,6148,6247,6221
11140605,1932,1998,2002
11140615,9395,9338,9336
11140625,15135,15074,15075
11140635,17904,17806,17760
11140645,14743,14732,14595
11140650,9710,10139,10846
11140665,11214,11163,11064
11140670,13547,13613,13669
11140680,13079,13055,13007
11170510,18694,18617,18547
11170520,12000,11897,11831
11170530,8508,8472,8521
11170555,20956,20834,20715
11170560,16266,16313,16471
11170570,14976,14847,14779
11170580,9078,9829,10179
11170590,12744,12714,12649
11170625,19354,19382,19504
11170630,29284,29215,29251
11170640,9055,9045,9025
11170650,9166,9164,9086
11170660,10898,10864,10812
11170685,23737,23663,23600
11170690,14282,14205,14122
11170700,16141,16008,15897
11200520,18110,17988,17953
11200535,27886,27885,27878
11200540,24175,24203,24137
11200550,13658,13596,13630
11200560,16767,16665,16659
11200570,24924,24926,24748
11200580,16284,16268,16228
11200590,16132,16045,15974
11200620,15376,15346,15283
11200645,27253,27348,27264
11200650,17488,17420,17331
11200660,15588,15374,15084
11200670,18252,18159,17979
11200690,11902,11787,11725
11200720,11715,11632,11546
11200790,14737,13980,13572
11215710,25278,25314,25422
11215730,22113,22084,22142
11215740,16506,16510,16420
11215750,22687,22606,22635
11215760,17776,17567,17492
11215770,30856,30792,30561
11215780,11882,11887,11867
11215810,36197,36171,36180
11215820,24416,24351,24229
11215830,27389,27221,27107
11215840,29887,29685,29577
11215847,23886,23662,23368
11215850,23274,23191,23126
11215860,28093,28140,28032
11215870,30418,30289,30179
11230536,31995,32062,32073
11230545,27725,27738,27630
11230560,31173,31141,31096
11230570,20337,20231,20341
11230600,29604,29907,29939
11230610,30313,30446,30439
11230650,39190,39260,39351
11230660,31585,31816,31930
11230705,22398,22288,22035
11230710,13031,13100,13337
11230720,14509,15343,16537
11230730,25271,25178,25176
11230740,24388,23215,22622
11230750,21743,21376,21273
11260520,26426,26260,26156
11260540,20614,20370,20237
11260550,10059,10003,9876
11260565,36522,36405,36247
11260570,22168,22054,21913
11260580,25499,25583,25629
11260590,19337,19494,19728
11260600,21036,20983,21001
11260610,28672,28423,27994
11260620,36200,36120,36063
11260630,20298,20138,20094
11260655,31699,31536,31251
11260660,18305,18171,18025
