,adm_nm,adm_cd,adm_cd2,lng,lat
0,서울특별시 종로구 사직동,1101053,1111053000,126.9699225,37.57389798
1,서울특별시 종로구 삼청동,1101054,1111054000,126.9815315,37.58604529
2,서울특별시 종로구 부암동,1101055,1111055000,126.9643002,37.5954352
3,서울특별시 종로구 평창동,1101056,1111056000,126.9688622,37.61367522
4,서울특별시 종로구 무악동,1101057,1111057000,126.9581985,37.5773292
5,서울특별시 종로구 교남동,1101058,1111058000,126.9643096,37.57122798
6,서울특별시 종로구 가회동,1101060,1111060000,126.986305,37.58403424
7,서울특별시 종로구 종로1·2·3·4가동,1101061,1111061500,126.9892555,37.57778883
8,서울특별시 종로구 종로5·6가동,1101063,1111063000,127.0040648,37.57315019
9,서울특별시 종로구 이화동,1101064,1111064000,127.0026265,37.58032678
10,서울특별시 종로구 창신1동,1101067,1111067000,127.0142019,37.57329614
11,서울특별시 종로구 창신2동,1101068,1111068000,127.0105269,37.57597253
12,서울특별시 종로구 창신3동,1101069,1111069000,127.0129789,37.57880395
13,서울특별시 종로구 숭인1동,1101070,1111070000,127.0170593,37.57755725
14,서울특별시 종로구 숭인2동,1101071,1111071000,127.0195471,37.57454047
15,서울특별시 종로구 청운효자동,1101072,1111051500,126.9690288,37.58476763
16,서울특별시 종로구 혜화동,1101073,1111065000,126.9978317,37.58676947
17,서울특별시 중구 소공동,1102052,1114052000,126.9747099,37.56445915
18,서울특별시 중구 회현동,1102054,1114054000,126.976958,37.55725469
19,서울특별시 중구 명동,1102055,1114055000,126.9830721,37.56164823
20,서울특별시 중구 필동,1102057,1114057000,126.9943086,37.55669631
21,서울특별시 중구 장충동,1102058,1114058000,127.001109,37.55540515
22,서울특별시 중구 광희동,1102059,1114059000,127.0026399,37.56560562
23,서울특별시 중구 을지로동,1102060,1114060500,126.9975957,37.56625702
24,서울특별시 중구 신당5동,1102065,1114065000,127.0213738,37.56323803
25,서울특별시 중구 황학동,1102067,1114067000,127.0205643,37.56845436
