month,pop,time,type
Apr,10614529.0,0,total
Apr,10603447.0,1,total
Apr,10596131.0,2,total
Apr,10591645.0,3,total
Apr,10594751.0,4,total
Apr,10600941.0,5,total
Apr,10632614.0,6,total
Apr,10741951.0,7,total
Apr,10885562.0,8,total
Apr,10991702.0,9,total
Apr,11046498.0,10,total
Apr,11081252.0,11,total
Apr,11112304.0,12,total
Apr,11145091.0,13,total
Apr,11164708.0,14,total
Apr,11169722.0,15,total
Apr,11162178.0,16,total
Apr,11151885.0,17,total
Apr,11100640.0,18,total
Apr,11003038.0,19,total
Apr,10929068.0,20,total
Apr,10856946.0,21,total
Apr,10766675.0,22,total
Apr,10648789.0,23,total
Apr,5034082.0,0,male
Apr,5026715.0,1,male
Apr,5022023.0,2,male
Apr,5019394.0,3,male
Apr,5020786.0,4,male
Apr,5023958.0,5,male
Apr,5041310.0,6,male
Apr,5097566.0,7,male
Apr,5157000.0,8,male
Apr,5199470.0,9,male
Apr,5218132.0,10,male
Apr,5228352.0,11,male
Apr,5240215.0,12,male
Apr,5255849.0,13,male
Apr,5267104.0,14,male
Apr,5273558.0,15,male
Apr,5277354.0,16,male
Apr,5280876.0,17,male
Apr,5265689.0,18,male
Apr,5223564.0,19,male
Apr,5190085.0,20,male
Apr,5157489.0,21,male
Apr,5113875.0,22,male
Apr,5053375.0,23,male
Apr,5580246.0,0,female
Apr,5576518.0,1,female
Apr,5573898.0,2,female
Apr,5572042.0,3,female
Apr,5573747.0,4,female
Apr,5576755.0,5,female
Apr,5591110.0,6,female
Apr,5644170.0,7,female
Apr,5728365.0,8,female
Apr,5792014.0,9,female
Apr,5828156.0,10,female
Apr,5852689.0,11,female
Apr,5871883.0,12,female
Apr,5889025.0,13,female
Apr,5897401.0,14,female
Apr,5895933.0,15,female
Apr,5884602.0,16,female
Apr,5870798.0,17,female
Apr,5834737.0,18,female
Apr,5779266.0,19,female
Apr,5738783.0,20,female
Apr,5699222.0,21,female
Apr,5652593.0,22,female
Apr,5595219.0,23,female
Apr,10883002.79166667,avg,total
Apr,5153659.208333331,avg,male
Apr,5729132.166666665,avg,female
Aug,10418937.0,0,total
Aug,10406784.0,1,total
Aug,10400127.0,2,total
Aug,10395480.0,3,total
Aug,10395383.0,4,total
Aug,10399304.0,5,total
Aug,10427368.0,6,total
Aug,10534537.0,7,total
Aug,10685160.0,8,total
Aug,10790333.0,9,total
Aug,10848597.0,10,total
Aug,10883584.0,11,total
Aug,10914632.0,12,total
Aug,10945760.0,13,total
Aug,10964535.0,14,total
Aug,10970415.0,15,total
Aug,10962365.0,16,total
Aug,10945802.0,17,total
Aug,10881869.0,18,total
Aug,10777602.0,19,total
Aug,10706195.0,20,total
Aug,10643106.0,21,total
Aug,10559737.0,22,total
Aug,10454158.0,23,total
Aug,4948853.0,0,male
Aug,4941207.0,1,male
Aug,4936994.0,2,male
Aug,4934047.0,3,male
Aug,4933156.0,4,male
Aug,4935344.0,5,male
Aug,4952236.0,6,male
Aug,5006503.0,7,male
Aug,5069516.0,8,male
Aug,5112337.0,9,male
Aug,5133661.0,10,male
Aug,5143928.0,11,male
Aug,5155541.0,12,male
Aug,5169649.0,13,male
Aug,5179596.0,14,male
Aug,5185249.0,15,male
Aug,5188304.0,16,male
Aug,5187954.0,17,male
Aug,5166129.0,18,male
Aug,5120670.0,19,male
Aug,5088572.0,20,male
Aug,5060507.0,21,male
Aug,5021497.0,22,male
Aug,4968861.0,23,male
Aug,5469883.0,0,female
Aug,5465377.0,1,female
Aug,5462938.0,2,female
Aug,5461235.0,3,female
Aug,5462013.0,4,female
Aug,5463750.0,5,female
Aug,5474905.0,6,female
Aug,5527852.0,7,female
Aug,5615428.0,8,female
Aug,5677799.0,9,female
